"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
87,"Spectrogram 1",1,0,10.592647,559.863,0.3522,10592.647,268.987646395,269.339886266,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
88,"Spectrogram 1",1,0,10.484559,3143.848,0.7903,10484.559,269.339886266,270.130168028,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
90,"Spectrogram 1",1,0,10.592647,1291.992,1.2599,10592.647,273.545627835,274.805562759,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
91,"Spectrogram 1",1,0,10.484559,1033.594,0.8806,10484.559,275.123118059,276.003717736,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
93,"Spectrogram 1",1,0,10.376471,1205.859,0.5555,10376.471,276.676586208,277.232041389,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
2,"Spectrogram 1",1,0,10.506176,689.062,1.0646,10506.176,285.873759577,286.938378181,"y","n","n","n","n","n","n","1/ZOOM0007_TrLR-28.Table.1.selections.txt","ZOOM0007_TrLR-28.wav"
2,"Spectrogram 1",1,0,10.700735,1808.789,0.6006,10700.735,61.23689136,61.8375055,"y","n","n","n","n","n","n","1/ZOOM0007_TrLR-3.Table.1.selections.txt","ZOOM0007_TrLR-3.wav"
3,"Spectrogram 1",1,0,10.700735,1765.723,0.9258,10700.735,61.842021395,62.767780031,"y","n","n","n","n","n","n","1/ZOOM0007_TrLR-3.Table.1.selections.txt","ZOOM0007_TrLR-3.wav"
5,"Spectrogram 1",1,0,10.592647,1765.723,1.1877,10592.647,65.486346394,66.674026985,"y","n","n","n","n","n","n","1/ZOOM0007_TrLR-3.Table.1.selections.txt","ZOOM0007_TrLR-3.wav"
7,"Spectrogram 1",1,0,10.700735,1765.723,0.9754,10700.735,69.396854482,70.372287971,"y","n","n","n","n","n","n","1/ZOOM0007_TrLR-3.Table.1.selections.txt","ZOOM0007_TrLR-3.wav"
